alpha,beta,gamma,ndcg,map,diversity,coverage,serendipity,avg_pnl,equity_final,equity_max_drawdown
0.2,0.2,0.0,0.7281277552976269,0.6350000000000008,0.9456722516471685,1.0,0.03666666666666667,0.008302892610102648,7.0927978895526005,-0.7800163863281421
0.2,0.2,0.1,0.7343991050595299,0.6438888888888903,0.9402804385863405,1.0,0.04666666666666667,0.010217551864012776,12.434447057552521,-0.6317109236032363
0.2,0.2,0.2,0.7315812676190543,0.6400000000000013,0.884438871611117,1.0,0.043333333333333335,0.00924269884693074,9.1652460296421,-0.6725716514580858
0.2,0.4,0.0,0.7405091602261976,0.6516666666666683,0.9626774961796234,1.0,0.09666666666666666,0.011532397643358117,19.736517032921814,-0.6337457222987062
0.2,0.4,0.1,0.7329696285357212,0.6416666666666679,0.9665856815539621,1.0,0.07666666666666666,0.011062517943737336,17.040659007874837,-0.6588185016872072
0.2,0.4,0.2,0.7047153585833407,0.6038888888888898,0.9591110266301739,1.0,0.07333333333333333,0.00516187612473111,2.8968595704479614,-0.8501423049555425
0.2,0.6,0.0,0.7043991050595299,0.60388888888889,0.9428854311720787,1.0,0.09,0.011742194870812904,21.89238466384664,-0.48736496431078197
0.2,0.6,0.1,0.7369386367500061,0.6472222222222235,0.9650287697562999,1.0,0.13666666666666666,0.009084988330311954,9.860533846710343,-0.5509492531622333
0.2,0.6,0.2,0.7282479342857208,0.6355555555555571,0.8982434094343443,1.0,0.14333333333333334,0.009361855686357525,10.648007033812146,-0.6004850191621397
0.4,0.2,0.0,0.7488424935595308,0.6627777777777789,0.9018972358711528,1.0,0.01,0.014056139970749589,39.19622664541994,-0.4287348831448206
0.4,0.2,0.1,0.7468184577619122,0.6600000000000009,0.8950141911126549,1.0,0.02,0.011548754724078358,18.30389300162428,-0.461948240252431
0.4,0.2,0.2,0.7475331960238164,0.6611111111111124,0.8797031077202702,1.0,0.02666666666666667,0.010843962128252595,14.626265767058724,-0.4982490195849745
0.4,0.4,0.0,0.7491207993095305,0.663333333333335,0.9493705007536323,1.0,0.03666666666666667,0.014260181101048408,42.43111009396376,-0.4632329990873429
0.4,0.4,0.1,0.7304300968452451,0.6383333333333344,0.9374477472442713,1.0,0.03666666666666667,0.011194739668745658,17.071270990410042,-0.48203191716573723
0.4,0.4,0.2,0.7522169425000056,0.6677777777777794,0.9150351749019627,1.0,0.06333333333333334,0.015232534247773367,55.97085616761983,-0.5833548813857107
0.4,0.6,0.0,0.728485124428579,0.6355555555555565,0.9582459395606295,1.0,0.05333333333333334,0.010934546454516076,16.229265109889468,-0.6900388947978321
0.4,0.6,0.1,0.7349936643333401,0.6444444444444455,0.974856102931828,1.0,0.06333333333333334,0.011987604281601425,22.127935973101987,-0.5051615785723647
0.4,0.6,0.2,0.7253510334642922,0.631666666666668,0.9563762164249421,1.0,0.056666666666666664,0.011109378395481885,16.886890604146345,-0.6642536427965353
0.6,0.2,0.0,0.7525331960238163,0.6677777777777789,0.8752961546790372,1.0,0.006666666666666667,0.013546634120250322,32.725417368084685,-0.4552430967898069
0.6,0.2,0.1,0.7574541326428637,0.6744444444444457,0.8748864350068729,1.0,0.02,0.014590367505459454,45.31476618699211,-0.457090135061967
0.6,0.2,0.2,0.7430486919166739,0.655000000000001,0.8610175551151846,1.0,0.01,0.010239897273644124,12.129437933091866,-0.5127567626917096
0.6,0.4,0.0,0.7470177001309589,0.6605555555555569,0.9167115211718275,1.0,0.023333333333333334,0.013810331319817303,35.95846652496105,-0.440411244585997
0.6,0.4,0.1,0.7541207993095304,0.6700000000000012,0.8989703946686682,1.0,0.03,0.013878302551745589,36.44408544604463,-0.42873488314482056
0.6,0.4,0.2,0.7456672869881029,0.6583333333333342,0.9167115211718275,1.0,0.023333333333333334,0.012114205397967896,21.914490953756278,-0.4547445756023202
0.6,0.6,0.0,0.7409455927381026,0.652222222222223,0.9402672098642678,1.0,0.04,0.011384872775443637,17.882287447109302,-0.6197065614969531
0.6,0.6,0.1,0.7337634301785783,0.6427777777777789,0.9111481921006953,1.0,0.03333333333333333,0.011580675760538435,18.695844078980294,-0.5450672928463514
0.6,0.6,0.2,0.7320177001309591,0.6405555555555565,0.9388840419193085,1.0,0.03666666666666667,0.01218827906218861,23.34425613827001,-0.5823494964248359
